Cod.;nombre;freq;enunciado;;;;
PVAI-0001;adepto;1;A partir de entonces fui entregándole material de Lucas Álvarez, intentando sin mayor enmascaramiento que se volviera un adepto más;;;;
PVAI-0002;adicto;1;Desde el momento en que Andrés llegó a Londres se volvió un adicto a los libros, a la biblioteca,;;;;
PVAI-0003;adicto;1;En rigor, nunca llegó a fundarla, su propia Sociedad del Jardín, pero se volvió un adicto al huerto y la vida a la intemperie;;;;
PVAI-0004;adicto;1;Marcelo Moya, manifestó su descontento con el planteamiento de la fiscalía y criticó a Carabineros por no evitar que Vejar se volviera un adicto y no controlar adecuadamente a sus funcionarios a través de exámenes anuales toxicológicos, ;;;;
PVAI-0005;apasionado;1;Yo me volví un apasionado del vino en los 90,;;;;
PVAI-0006;bárbaro;1;" ""Pepe: Y te volviste un bárbaro en echarle almidón a las sábanas, plancharlas de nuevo y poner a la gente a dormir sobre el cadáver de la leche ajena.
""";;;;
PVAI-0007;bebedor;1;Me alegro de que quieras saber de mi relación con Sócrates, porque eso me lleva a contarte cómo me volví un bebedor.;;;;
PVAI-0008;blandengue;1;El militar debe servirse del intelectual y nunca podrá convertirse en uno de ellos, so pena de que se vuelva un blandengue;;;;
PVAI-0009;borrachín;1;"así el ""Padre de la Patria"" (Miguel Hidalgo y Costilla) se vuelve un borrachín y putañero ";;;;
PVAI-0010;borracho;1;"Beatriz trajo la botella de cerveza y yo me la empiné de inmediato. Tomar cerveza es una de las acciones que mejor sirven para disimular cuando uno no sabe qué decir o hacer. A lo mejor por eso me volví un borracho; no sé. ";;;;
PVAI-0011;charlatán;1;El silencio de Miguel desaparece y se vuelve un charlatán. ;;;;
PVAI-0012;cínico;1; Y seguí luchando porque me volví un cínico, yo también;;;;
PVAI-0014;debilucho;1;jamás tuvo ni un resfrío durante estos dos años, ahora se volvió un debilucho, un enfermo crónico,;;;;
PVAI-0015;derretido;1;- Cuando nació la niña, se volvió un derretido por ella.;;;;
PVAI-0016;descastado;1;Ni una, nunca más, como si la espantara la idea de verme caer por allá. ¿Es eso lo que hace una hija? Yo sé por qué digo que se volvió una descastada, caballero.;;;;
PVAI-0017;estándar;1;" se estruja las manos pues cree que la calidad no se asocia a las ventas. ""El problema es que eso se vuelva un estándar""";;;;
PVAI-0018;estándar;1;para decidir si Open XML, formato de documentos que permite un intercambio de datos sin importar el sistema operativo que se use, creado por Microsoft, se vuelve un estándar abierto oficial.;;;;
PVAI-0019;experto;1; se vuelve un experto en deformes, un perito en monstruos, como se dice en la novela.;;;;
PVAI-0020;experto;1;Teóricamente el paciente se vuelve un experto sobre sí mismo o la enfermedad que le interesa.;;;;
PVAI-0021;experto;1;pero con la experiencia que le dan a uno los días me volví un experto en laminación,;;;;
PVAI-0022;experto;1;Allí aprendí que lo que más necesitan la mayoría de los hombres es que los escuchen, sobre todo en la cama después del sexo. Me volví una experta en eso.;;;;
PVAI-0023;experto;1;" ríe con una revelación: ""Cuando viajás mucho te volvés una experta en elegir asiento.";;;;
PVAI-0024;experto;1;Ana empezó a observar más en detalle los cuerpos de las que la rodeaban. Aprendió a reconocer las incongruencias. Se volvió una experta.;;;;
PVAI-0025;experto;1;Pero es necesario adentrarse en el arte de besar para volverse un experto en la materia;;;;
PVAI-0026;fanático;1;últimamente me volví un fanático de la alimentación biológica.;;;;
PVAI-0027;fanático;1;con lo cual me volví fanático del cine mexicano de los setenta.;;;;
PVAI-0028;grosero;1;O bien el sol había variado su sustancia y naturaleza para volverse un grosero, voluminoso y radiante huevo ocre,;;;;
PVAI-0029;ilegal;1;Se vuelven negros, o peor, se vuelven malditos ilegales. Entonces, hay ese prejuicio en la cultura en general.;;;;
PVAI-0030;imbécil;1;En este momento puedo volverme un imbécil. Aquí el sendero se bifurca otra vez. ;;;;
PVAI-0031;imperativo;1;se vuelve un imperativo garantizar la independencia de los partidos políticos ;;;;
PVAI-0032;imperativo;1; Se vuelve un imperativo la mayor relación de la investigación agrícola con la educación y la capacitación a nivel local;;;;
PVAI-0033;imperativo;1;se vuelve un imperativo discernir sobre la falta de voluntad, ;;;;
PVAI-0034;imperativo;1;su defensa y preservación se vuelve un imperativo moral y ético.;;;;
PVAI-0035;imperativo;1;se vuelve un imperativo categórico contar con un servicio exterior eficiente;;;;
PVAI-0036;imperativo;1;esas dos palabras de la variante agustiniana se vuelven un imperativo en relación con la justicia y la verdad. ;;;;
PVAI-0037;imperativo;1;Dada la situación nacional de escasez de recursos, se vuelve un imperativo realizar estudios que permitan mejorar la efectividad;;;;
PVAI-0038;imperativo;1; estar al día, aggiornarse, se volvió un imperativo de valor universal.;;;;
PVAI-0039;intruso;1;Era como un amante que registra las marcas previas al abandono (el envase de shampoo en el fondo de la bañera, los restos de una torta de crema en un plato) y que al hacerlo se vuelve un intruso.;;;;
PVAI-0040;libertino;1;Con los años me volví un libertino y empezaron los problemas con mi familia.;;;;
PVAI-0041;loco;1;La otra vía era dejar las emociones sueltas y enloquecer con los disparos, disfrutarlos como energúmeno. Volverse un loco furioso y un cínico.;;;;
PVAI-0042;maniático;1;"Se volvió un maniático; escribía cartas a la prensa y a los sacerdotes manifestando su inconformidad";;;;
PVAI-0043;maniático;1;porque la gente consuma arroz al ser nuestro negocio, nuestro medio de vida, me ha hecho obsesionarme y volverme un maniático del arroz.;;;;
PVAI-0044;miedoso;1;Me daba miedo volverme una miedosa. Qué gracioso sería.;;;;
PVAI-0045;mirón;1;", comienza a mirar a otra gente que es captada por la cámara, uno se vuelve un mirón ('voyeur') y un exhibicionista"".";;;;
PVAI-0046;optimista;1;Habrá que creer en la esperanza y en la posibilidad del amor, ciertamente, pero jamás volverse un optimista, qué espanto.;;;;
PVAI-0047;pasivo;1;si no hay una respuesta rápida y suficientemente clara del funcionario, no tardará mucho para que el titular de Gobernación se vuelva un pasivo que le reste al Presidente.;;;;
PVAI-0048;pollerudo;1;Pero vos siempre fuiste medio mariconci-to y yo me volví un pollerudo desde que me metí entre las gambas de Mirtha.;;;;
PVAI-0050;protestón;1; sobre todo entrenarse diariamente para lograr naturalmente un carácter jovial, social, amable y no volverse un protestón y quejarse de todo lo viviente y de lo que lo rodea. ;;;;
PVAI-0051;rebelde;1;Tu hijo se vuelve un rebelde -explica Carmen Avila-, es lo opuesto a lo que ustedes querían y esto produce tensión.;;;;
PVAI-0052;romántico;1;No se trataba de volverse un romántico y perorar rebosante de cursilería sobre la magia del momento, ;;;;
PVAI-0053;sonámbulo;1;"Un rayo te parte después de que justamente aquello, en algún momento sagrado, se profanara hasta volverse un sonámbulo caminando sin rumbo. Que duela tanto como el dolor que has provocado"".";;;;
PVAI-0054;soplón;1;el miedo hacia una hija que de un momento a otro puede volverse una soplona o la maquinaria propagandística que vende,;;;;