CÓDIGO;tokens;ítem;complemento;enunciado;;
PVND-0003;1;agujero;0; No me gusta pelear. Los otros niños te rodean. Te vuelves el agujero, te vuelves el dedal.;;
PVND-0022;1;Central;0;La oficina estaba junto al Comité de Unidad y Solidaridad Sindical, el CUAS, que después se volvió la Central Sindical de Trabajadores Colombianos, CSTC. ;;
PVND-0036;1;comentario;0;Rossi se volvió el comentario en el club y en el estadio de fútbol;;
PVND-0041;1;cronista;0;  Sicilia para  volverse el cronista y el biógrafo de Garibaldi ;;
PVND-0043;1;dedal;0;agujero, te vuelves el dedal. ;;
PVND-0046;1;destino;0;"  lo recomiendo-;  volverse el compinche  ";;
PVND-0054;1;dueño;0;se volvió el dueño y apenas pudo reconocerle,;;
PVND-0055;1;editores;0; Cada vez en las casas editoriales los que antes organizaban los cocteles se vuelven los editores.;;
PVND-0061;1;escroto;0;porque lo primero que hay son posibles labios, y estos labios se vuelven el escroto, ;;
PVND-0073;1;Gruta;0; el teatro La Gruta en el Helénico se volvió La Gruta a partir de esa temporada.;;
PVND-0096;1;memoria;0;Porque cada gran orquesta es igualmente sus grandes solistas, al tiempo que ellos viven y sobreviven en nosotros, se vuelven la memoria, forman parte de nuestra vida y no salen de ella jamás.;;
PVND-0104;1;norma;0;El cinismo se volvió la norma.;;
PVND-0105;1;norma;0;cinismo se volvió la norma. ;;
PVND-0001;1;actividad;favoritas;Besarme completa, penetrarme en amores y perderse en mis carnes se volvieron las actividades favoritas de Román.;;
PVND-0002;1;afrodisíaco;más espectacular;   afrodisíaco más espectacular ;;
PVND-0153;1;alumno;mejor;De inmediato, se volvió el mejor alumno de la clase. Ser el mejor tenía sus desventajas también. ;;
PVND-0004;1;amante;de la revolución;   el amante de la revolución;;
PVND-0005;1;amo;y señor;Samayoa se volvió el amo y señor dentro de la pista;;
PVND-0006;1;arena;de disputa;   la arena de disputa entre las élites;;
PVND-0007;1;argumento;irrefutable;su liberalismo se vuelve el argumento irrefutable;;
PVND-0008;1;armas;con que;ejecutivo se vuelven las armas  con las que la madre de Enrique lo chantajea;;
PVND-0009;1;asunto;protagónico;   el asunto protagónico;;
PVND-0010;1;atracción;más buscada;   la atracción más buscada por las masas;;
PVND-0149;1;atributo;principal;La independencia, respecto de los otros poderes del Estado, se vuelve el principal atributo deseable de este Poder Judicial en un régimen democrático.;;
PVND-0011;1;bailarín;oficial;escuela. Me volví el bailarín oficial de mi primaria;;
PVND-0012;1;banco;más grande;   el banco más grande y rentable;;
PVND-0013;1;banda;sonora de nuestras vidas;'Sympathy' se volvió la banda sonora de nuestras vidas;;
PVND-0014;1;barrio;de las comunidades;   el barrio de las comunidades europeas de México;;
PVND-0015;1;blanco;predilecto;Anselmo se volvió el blanco predilecto del nuevo régimen temperamental;;
PVND-0159;1;blanco;propio; Al ser un software más, puede volverse el propio blanco principal de ataques,;;
PVND-0016;1;borracho;que soy;Pero para ser sincero me volví el borracho que soy por una borrachera histórica que me zampé con un gringo de Texas;;
PVND-0017;1;burla;de mis compañeros;   la burla de mis compañeritos de kínder.;;
PVND-0018;1;campeón;más joven;   el campeón más joven de la historia;;
PVND-0019;1;casa;de la cruz;   la casa de la cruz;;
PVND-0020;1;casa;matriz;   la casa matriz;;
PVND-0021;1;categoría;mediante las cuales;el presente y el futuro se volvieran las categorías mediante las cuales la burguesía sustancializaba la temporalidad de la producción;;
PVND-0023;1;centro;exacto del fragmeto;entiendo, se vuelve el centro exacto del fragmento de circunferencia que vemos;;
PVND-0024;1;centro;de atención;   el centro de atención;;
PVND-0025;1;centro;de atención;   el centro de  atención;;
PVND-0026;1;centro;de la parmera;   el centro de la palmera;;
PVND-0027;1;centro;de los comentarios;   el centro de los comentarios;;
PVND-0028;1;centro;de mi vida;   el centro de mi vida;;
PVND-0029;1;centro;de su ateción;   el centro de su atención;;
PVND-0030;1;centro;del conflicto;   el centro del conflicto;;
PVND-0031;1;centro;del mundo;   el centro del mundo;;
PVND-0084;1;cintura ;de Cruz ;Hasta las mujeres se mecían como  si quisieran  volverse la cintura de Cruz ;;
PVND-0032;1;ciudad;de los derechos;"que la ciudad se vuelva la ciudad de los derechos"".";;
PVND-0033;1;código;más relecante;   el código más relevante;;
PVND-0034;1;códigos;culturales;tanto se vuelven los códigos culturales que el lector tiene que reconstruir;;
PVND-0035;1;colonia;más próspera;A partir de ese momento Saint Domingue comenzó a volverse la colonia más próspera del Caribe,;;
PVND-0037;1;comidilla;de todos;   la comidilla de todos;;
PVND-0038;1;comodín;que ayuda;   el comodín que ayuda;;
PVND-0160;1;Comodoro;esbelto;ha dejado de ser el gordo Comodoro para volverse el esbelto Comodoro;;
PVND-0147;1;compradores;princpal;orresponsales de prensa, miembros de cuerpos de socorro, militares estadounidenses, muchos de ellos se volvieron los principales compradores.;;
PVND-0039;1;coreógrafo;consentida;   la coreógrafa consentida del American Ballet Theater ;;
PVND-0040;1;crónica;del deteriro;   la crónica del deterioro de la relación entre Ray y Ramona;;
PVND-0042;1;decorador;de la cultura;   los decoradores de la cultura alta;;
PVND-0044;1;Delta;del Paraná;y ella lo ve, herido en la garganta, delirando por ese Río tramposo de niebla y fango que de a poco se vuelve el Delta del Paraná. ;;
PVND-0045;1;depositario;de la confesión;   el depositario de la confesión;;
PVND-0047;1;destino;permanente;  excusa de  volverse el destino permanente del terror ;;
PVND-0048;1;detonante;del aislamiento;   el detonante del aislamiento;;
PVND-0049;1;diosa;protectora;la diosa comprendió lo que era ser mamá y desde allí se volvió la diosa protectora de las madres y sus hijos.;;
PVND-0050;1;director;de arte;"además de que nuestro hijo Elio, después, por sus propia iniciativa, se volvió el director de arte de Natalia y Jacaranda,
";;
PVND-0051;1;director;de arte;   el director de arte de Natalia;;
PVND-0052;1;diseñador;de conceptos;   el diseñador de conceptos;;
PVND-0148;1;diseñador;principal;están el rol hegemónico de Estados Unidos, que se vuelve el principal diseñador de conceptos y políticas de seguridad en el continente.;;
PVND-0053;1;doble;de sí misma;   el doble de sí misma;;
PVND-0056;1;eje;de las capacitaciones;   el eje de las capacitaciones a las promotoras integrantes de los equipos operativos;;
PVND-0057;1;elemento;constitutivo;   el elemento constitutivo de la forma;;
PVND-0058;1;enlace;entre;y se vuelve el enlace entre la Asamblea Nacional, la vicepresidencia y los exaltados que secuestran al rector;;
PVND-0150;1;entusiasta;principal;"le resultaban un poco pesadas; sin embargo, se volvió la principal entusiasta del Cine Club.";;
PVND-0059;1;epítome;de lo inglés;   el epítome de lo inglés;;
PVND-0060;1;equivalente;a lo mejor;   el equivalente a lo mejor y a lo superior en oposición a lo oriundo y autóctono. ;;
PVND-0062;1;espacio;de una nueva sociedad;   los espacios de una nueva socialidad;;
PVND-0146;1;esparanza;último;llamó para ofrecer sus óvulos y así se volvió la última esperanza para que mi árbol genealógico no se convirtiera en una ramita seca. ;;
PVND-0063;1;especialidad;de fotógrafos;   la especialidad de fotógrafos extranjeros;;
PVND-0064;1;espectador;de esa intriga;  mi padre,  volverse el espectador de esa intriga absurda ;;
PVND-0065;1;expresión;viva del deseo;Marina, se vuelve la expresión viva del deseo cinematográfico;;
PVND-0066;1;expresión;moderna;Los mitos y prejuicios contra los pobres se vuelven la expresión ´moderna' del racismo peruano;;
PVND-0067;1;faceta;más temible;   la faceta más temible del arte;;
PVND-0068;1;factor;determinantes;   los factores deerminantes;;
PVND-0069;1;figura;más admiradas; los lleva afirmar su carácter, a convertirse en hombres y a volverse las figuras más admiradas de su tribu.;;
PVND-0070;1;foco;de atención;   el foco de atención;;
PVND-0071;1;fotógrafo;de la compañía;   el fotógrafo de la compañía ferrocarrilera;;
PVND-0072;1;fuerza;social; [la energía excedente] productiva, se vuelve la fuerza social constroladora;;
PVND-0157;1;gota;famoso; A mí me tocó la cocina, pero el jueves me volvió la famosa gota, que hacía tiempo no me daba en Chile. ;;
PVND-0074;1;guerra;de los sexos;O era simplemente el juego, que fácilmente se vuelve la guerra de los sexos:;;
PVND-0075;1;hermano;del sol;   la hermana del Sol;;
PVND-0076;1;héroe;de la juventud; primero me peleo con mi vieja y después me vuelvo el héroe de la juventud,;;
PVND-0154;1;herramienta;mejor;la constatación al tacto se vuelve la mejor herramienta para identificarlos.;;
PVND-0077;1;imagen;negativa;novela se vuelve la imagen completamente negativa;;
PVND-0078;1;imagen;de Bótoa;   la imagen de Bótoa;;
PVND-0079;1;imagen;que conozco;   la imagen que conozco;;
PVND-0144;1;institución;único;Así el Estado mexicano se vuelve la única institución legal y juridica que fomenta el canon tradicional de los roles sociales del hombre y la mujer a través del matrimonio. ;;
PVND-0080;1;instrumento;para exclavizar;cada uno se volverá el instrumento para exclavizar a los demás;;
PVND-0081;1;inversión;menos atractiva;el dólar se volvió la inversión menos atractiva en la sesión de este viernes.;;
PVND-0082;1;Jockey;Club;Habiendo sido desde 1524 casa particular, en 1892 cambió sus funciones: se volvió el Jockey Club;;
PVND-0083;1;juego;del Hasselbeck;Sin Alexander, éste se volvió el juego de Hasselbeck.;;
PVND-0085;1;lema;de cada una;   el lema de cada una de sus expediciones;;
PVND-0086;1;leyenda;del pueblo;se hicieron unas propagandistas del sindinismo, y los tres se volvieron la leyenda del pueblo.;;
PVND-0087;1;lugar;privilegiado;   el lugar privilegiado donde uruguayos y argentinos, peruanos y ecuatorianos, chilenos y bolivianos se encontraban ;;
PVND-0088;1;mancha;más grande;   mancha más grande de la ciudad ;;
PVND-0089;1;manera;natural;   la manera natural de mirar el mundo;;
PVND-0090;1;mascota;de la operación;   las mascotas de la operación fisura;;
PVND-0091;1;meca;de la espaciosa;   la meca de la espaciosa mesa oval de la sala de reuniones;;
PVND-0092;1;medida;de de cualquier realidad;   la medida de cualqueir realidad;;
PVND-0093;1;medio;más efectivo;   el medio más efectivo;;
PVND-0094;1;medio;regular;   el medio regular de comunicarse entre él y Violeta ;;
PVND-0095;1;medio;representativo;   el medio representativo de la humanidad;;
PVND-0097;1;metáfora;precisa;"él"", se vuelve la metáfora precisa de la escritura";;
PVND-0098;1;método;para;productividad se vuelve el método para no retroceder;;
PVND-0099;1;mirón;al borde;Volverme el mirón al borde del acuario donde el pez me observa ;;
PVND-0100;1;modelo;de nuestro pensamiento;   el modelo de nuestro pensamiento;;
PVND-0101;1;mujer;más agresiva;   la mujer más agresiva;;
PVND-0102;1;mujer;triste;Su marido siguió quedándose en la calle y ella se volvió la mujer triste y amargada que es hoy.;;
PVND-0156;1;nación;gran;deberes y responsabilidades con los que habremos de vérnoslas y cumplir a medida que nos volvemos la gran nación;;
PVND-0103;1;negocio;del dolor;   el negocio del dolor;;
PVND-0106;1;novela;de la enfermedad;  pretensión de  volverse la novela de la enfermedad ;;
PVND-0107;1;objeto;de deseo;   el objeto de deseo;;
PVND-0108;1;obligación;de cada noche;  que estaba  volviéndose la obligación de cada noche ;;
PVND-0109;1;obsesión;máxima;La tecnología punta se vuelve la obsesión máxima;;
PVND-0110;1;obsesión;más persistente;   la obsesión más persistente;;
PVND-0111;1;obsesión;que coronó;   la obsesión que coronó hace 4 años en el Salón de Ensayo;;
PVND-0112;1;ojos;del director;   los ojos del director;;
PVND-0113;1;oportunidad;de crecer;   la oportunidad de crecer;;
PVND-0114;1;paso;obligado;Honduras se vuelve el paso obligado;;
PVND-0115;1;persona;"más ""amiguera""";"Y Esteban se volvió la persona más ""amiguera"" de la Universidad. ";;
PVND-0116;1;personaje;principal;Sancho Panza que se volvía el personaje principal de una historia en donde el sentido común se orientaba hacia la explotación de los demás;;
PVND-0117;1;pesadilla;de una vida en comín;   la pesadilla de una vida en común;;
PVND-0151;1;pesadilla;peor;'Aquello se volvió la peor de las pesadillas.;;
PVND-0118;1;Pierre;Cardin;ya no sólo robábamos para ir bien vestidos y para seducir a las nenas, sino que nos volvimos los Pierre Cardin del Quiroga;;
PVND-0119;1;pozo;de sus rencores; Y cuando ya te tengan suficiente confianza, te volverás el pozo de sus rencores y envidias,;;
PVND-0155;1;premio;gran;o si San Salvador se vuelve el gran premio por el considerable aumento en su número de legisladores.;;
PVND-0120;1;prioridad;para;seguridad se volvió la prioridad ;;
PVND-0121;1;prioridad;más importante;   la prioridad más importante;;
PVND-0122;1;profeta;del arte conceptual;   el profeta del arte conceptual;;
PVND-0143;1;protagonista;verdader;osa que la historia para conocer la historia misma y el lenguaje se vuelve el verdadero protagonista del relato.;;
PVND-0123;1;protegido;del cártek;   el protegido del cártel del Puerto:;;
PVND-0124;1;proveedor;dominante;   el proveedor dominante de correo electrónico móvil;;
PVND-0125;1;punto;de inicio;l) bajo el lente de la vídeodanza el movimiento, su belleza, complejidad y artificio, se vuelve el punto de inicio y el objetivo.;;
PVND-0126;1;punto;más alto;   el punto más alto de este paisaje;;
PVND-0127;1;razón;para que ésta exista;la carta que recordé hoy antes de decidirme a meterme al mar en vez de leer Moby Dick y  se volvió la razón para que esta, la tercera carta, exista;;
PVND-0128;1;razón;del poema;   las razones del poema;;
PVND-0129;1;realidad;histórica;su infernal imaginación del poder  se volvería la realidad histórica del poder.;;
PVND-0130;1;rostro;de una persona;   el rostro de una persona por la que han pasado los años;;
PVND-0131;1;secreto;de las amigas;   el secreto de las amigas;;
PVND-0158;1;sensación;espantoso; y de nuevo le volvió la espantosa sensación que le causaba la aprehensión de continuar enfermo;;
PVND-0132;1;ser;más trsite;   el ser más triste;;
PVND-0133;1;símbolo;de un país;Óperas que se volvieron el símbolo de un país como la de Sidney, más imponente que la de París.;;
PVND-0134;1;sitio;de moda;Rápidamente, se volvió el sitio de moda, de fama tal, que apareció en numerosos libros y publicaciones de la época;;
PVND-0135;1;sustancia;de la sociabilidad;   la sustancia de la sociabilidad ;;
PVND-0145;1;sustancia;único;. De ser un co-principio de la sustancia, la materia inerte se vuelve la única sustancia, el único modelo de sustancia en el universo.;;
PVND-0136;1;teatro;del Diablo;   el teatro del Diablo disfrazado de Dios;;
PVND-0137;1;tela;invisible;que se vuelve la tela invisible que todo lo sostiene;;
PVND-0138;1;tema;de conversación;   el tema de conversación;;
PVND-0139;1;tema;que tenemos;   los temas que tenemos en el CD;;
PVND-0140;1;urbe;más gentil;   la urbe más gentil del hemisferio;;
PVND-0152;1;valor;nuevo;Cambiar la función, tomar a contrapelo el objeto cotidiano significa fundar un extrañamiento que se vuelve el nuevo valor en cuanto determina un cambio de signo;;
PVND-0141;1;vicepresidente;más poderoso;   el vicepresidente más poderoso de la historia;;
PVND-0142;1;vida;por;la vida por la patria que se volvió la vida por la nada;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;